date,cash_eur
2024-01-02,6141072.805593932
2024-01-03,-159700.68492404927
2024-01-04,-159700.68492404927
2024-01-05,-159700.68492404927
2024-01-08,-159700.68492404927
2024-01-09,6256990.416718103
2024-01-10,6256990.416718103
2024-01-11,6163194.81592138
2024-01-12,6163194.81592138
2024-01-16,6163194.81592138
2024-01-17,5884448.627711589
2024-01-18,-725726.3195908321
2024-01-19,6009523.1532870205
2024-01-22,6009523.1532870205
2024-01-23,6009523.1532870205
2024-01-24,6009523.1532870205
2024-01-25,6009523.1532870205
2024-01-26,6009523.1532870205
2024-01-29,6009523.1532870205
2024-01-30,5858590.139314578
2024-01-31,5858590.139314578
2024-02-01,-1575999.4528358637
2024-02-02,-1575999.4528358637
2024-02-05,5969156.032732172
2024-02-06,5969156.032732172
2024-02-07,5969156.032732172
2024-02-08,5969156.032732172
2024-02-09,5709856.413491181
2024-02-12,5709856.413491181
2024-02-13,5709856.413491181
2024-02-14,-1958579.2326222975
2024-02-15,5755570.884527369
2024-02-16,5755570.884527369
2024-02-20,5755570.884527369
2024-02-21,5755570.884527369
2024-02-22,5755570.884527369
2024-02-23,5755570.884527369
2024-02-26,5755570.884527369
2024-02-27,5755570.884527369
2024-02-28,5908000.484146924
2024-02-29,-1092303.3587416222
2024-03-01,6004442.426216693
2024-03-04,6004442.426216693
2024-03-05,6004442.426216693
2024-03-06,6004442.426216693
2024-03-07,6004442.426216693
2024-03-08,6004442.426216693
2024-03-11,6154122.532320721
2024-03-12,6154122.532320721
2024-03-13,6154122.532320721
2024-03-14,4289588.715952475
2024-03-15,4289588.715952475
2024-03-18,-2247620.4864877327
2024-03-19,-2247620.4864877327
2024-03-20,4379627.352529266
2024-03-21,4379627.352529266
2024-03-22,4379627.352529266
2024-03-25,4379627.352529266
2024-03-26,4379627.352529266
2024-03-27,4466985.4505686
2024-03-28,4466985.4505686
2024-04-01,4466985.4505686
2024-04-02,4466985.4505686
2024-04-03,-2604821.3871369027
2024-04-04,-2604821.3871369027
2024-04-05,-2689009.9995162846
2024-04-08,-2612958.1029319847
2024-04-09,4397509.766576165
2024-04-10,4397509.766576165
2024-04-11,4397509.766576165
2024-04-12,4654366.694505287
2024-04-15,4654366.694505287
2024-04-16,-1988410.3812801447
2024-04-17,-2163916.1903246655
2024-04-18,-2087734.8476228914
2024-04-19,-2087734.8476228914
2024-04-22,-1881497.611564334
2024-04-23,-1881497.611564334
2024-04-24,4576325.790925289
2024-04-25,4596865.066497231
2024-04-26,4596865.066497231
2024-04-29,4596865.066497231
2024-04-30,4596865.066497231
