date,equity_eur
2024-01-02,9998515.304763028
2024-01-03,9939617.985963425
2024-01-04,9899450.079773378
2024-01-05,9901263.901082223
2024-01-08,10097526.002515133
2024-01-09,10096053.381709706
2024-01-10,10118373.007826785
2024-01-11,10117260.471767973
2024-01-12,10128140.686795596
2024-01-16,10110367.636866532
2024-01-17,10076271.457342848
2024-01-18,10111179.767232021
2024-01-19,10297710.336710505
2024-01-22,10281787.470507614
2024-01-23,10306466.254650928
2024-01-24,10295726.671807982
2024-01-25,10294593.463240316
2024-01-26,10279004.209975412
2024-01-29,10329074.89069524
2024-01-30,10312174.173097188
2024-01-31,10267455.424153557
2024-02-01,10340902.616909707
2024-02-02,10511327.485035317
2024-02-05,10474413.408381132
2024-02-06,10479558.565141207
2024-02-07,10506067.100278059
2024-02-08,10488982.565231359
2024-02-09,10504276.736308437
2024-02-12,10490042.279538698
2024-02-13,10404757.935169904
2024-02-14,10450920.778132206
2024-02-15,10481300.867128968
2024-02-16,10453157.078231579
2024-02-20,10446999.083427895
2024-02-21,10446202.696092943
2024-02-22,10532758.475254348
2024-02-23,10555519.57529776
2024-02-26,10533860.7330046
2024-02-27,10527903.978113588
2024-02-28,10521865.913218873
2024-02-29,10556814.834895395
2024-03-01,10711466.65392991
2024-03-04,10741782.61915375
2024-03-05,10708764.266274879
2024-03-06,10735846.178352697
2024-03-07,10793360.027172774
2024-03-08,10779751.467538893
2024-03-11,10775864.0320731
2024-03-12,10803460.67911651
2024-03-13,10781174.414293194
2024-03-14,10750069.600052023
2024-03-15,10711055.326704135
2024-03-18,10757004.606193492
2024-03-19,10794663.892674975
2024-03-20,10911990.529199572
2024-03-21,10916691.571044145
2024-03-22,10893702.764348362
2024-03-25,10902788.567678057
2024-03-26,10895140.399969429
2024-03-27,10931492.352031885
2024-03-28,10978521.489806022
2024-04-01,11005330.08518731
2024-04-02,11025002.672253462
2024-04-03,11050925.685533402
2024-04-04,10893805.01783794
2024-04-05,11065119.384601463
2024-04-08,11069788.432701284
2024-04-09,11103872.702264346
2024-04-10,11059971.256657839
2024-04-11,11130809.63866576
2024-04-12,11052442.866690753
2024-04-15,11038282.506505568
2024-04-16,11034477.850528542
2024-04-17,10877688.338595275
2024-04-18,10834614.63899156
2024-04-19,10664574.37056842
2024-04-22,10708906.097173205
2024-04-23,10850464.88902213
2024-04-24,10863850.198172014
2024-04-25,10867380.904611405
2024-04-26,10919699.713401435
2024-04-29,10913247.175302576
2024-04-30,10807938.250420094
2024-05-01,10775168.469960194
2024-05-02,10804181.882805638
2024-05-03,10845400.703898512
2024-05-06,10906749.036630204
2024-05-07,10899495.053343985
2024-05-08,10900356.58068971
2024-05-09,10945860.828202384
2024-05-10,10957210.35329902
2024-05-13,10953199.30173287
2024-05-14,10970523.559135096
2024-05-15,11043428.249605983
2024-05-16,11039049.262463018
2024-05-17,11079206.110285873
2024-05-20,11094042.82126461
2024-05-21,11091915.137576796
2024-05-22,11031805.088452501
2024-05-23,10969003.900864089
2024-05-24,11009758.262168346
2024-05-28,11061250.220065163
2024-05-29,11013552.022186829
2024-05-30,10972105.707533384
2024-05-31,10962834.625686843
2024-06-03,10970526.951832283
2024-06-04,10970637.170993716
2024-06-05,11197700.60349956
2024-06-06,11228902.026459819
2024-06-07,11166536.397052487
2024-06-10,11223166.099890696
2024-06-11,11245559.70278386
2024-06-12,11295588.267544426
2024-06-13,11299996.146390224
2024-06-14,11321333.788806293
2024-06-17,11376330.447028045
2024-06-18,11405249.384411354
2024-06-20,11413021.653431177
2024-06-21,11364199.151841557
2024-06-24,11358434.127489699
2024-06-25,11365301.86395885
2024-06-26,11380220.667346338
2024-06-27,11424329.02475891
2024-06-28,11404367.239219263
2024-07-01,11450195.95230758
2024-07-02,11472050.334292505
2024-07-03,11528074.848066838
2024-07-05,11565876.081906602
2024-07-08,11543287.32118224
2024-07-09,11535585.529980674
2024-07-10,11592407.536674
2024-07-11,11566403.785907384
2024-07-12,11579967.720040794
2024-07-15,11613521.753351694
2024-07-16,11646524.182838066
2024-07-17,11345693.444611566
2024-07-18,11272130.851408057
2024-07-19,11106600.619010143
2024-07-22,11267552.544694025
2024-07-23,11197255.01260285
2024-07-24,10813365.672491007
2024-07-25,10770754.923716204
2024-07-26,10877451.206056619
2024-07-29,10873556.065642703
2024-07-30,10747996.911615524
2024-07-31,11098717.693153152
2024-08-01,10834366.579455744
2024-08-02,10714134.073393453
2024-08-05,10578961.99438366
2024-08-06,10665824.086683309
2024-08-07,10596062.46898558
2024-08-08,10865138.396547854
2024-08-09,10908226.598507734
2024-08-12,10899287.671659272
2024-08-13,10989547.54498589
2024-08-14,11002675.49477723
2024-08-15,11067269.822454004
2024-08-16,11123494.865494365
2024-08-19,11189363.950571831
2024-08-20,11190349.227785388
2024-08-21,11227485.7641911
2024-08-22,11159527.290511
2024-08-23,11193434.134630524
2024-08-26,11150616.438027758
2024-08-27,11183412.3104739
2024-08-28,11158574.784921668
2024-08-29,11147139.59042321
2024-08-30,11248454.689000292
2024-09-03,11073912.387260273
2024-09-04,11101700.39844218
2024-09-05,11121905.182241624
2024-09-06,10941491.56806809
2024-09-09,11036562.279337144
2024-09-10,11144887.716768311
2024-09-11,11264961.060477793
2024-09-12,11289548.890165418
2024-09-13,11327158.02242025
2024-09-16,11323427.902439939
2024-09-17,11295982.173481047
2024-09-18,11257447.469478445
2024-09-19,11317174.54637649
2024-09-20,11313524.130735748
2024-09-23,11337647.806187874
2024-09-24,11356455.125818674
2024-09-25,11359665.889970075
2024-09-26,11407335.721846858
2024-09-27,11389079.546975922
2024-09-30,11377140.634406256
2024-10-01,11361089.703816107
2024-10-02,11344226.374952229
2024-10-03,11282834.118747432
2024-10-04,11334905.01811949
2024-10-07,11207683.294622213
2024-10-08,11262056.370655881
2024-10-09,11265454.473324237
2024-10-10,11241698.265113799
2024-10-11,11265451.467179459
2024-10-14,11300275.40955823
2024-10-15,11331433.656021193
2024-10-16,11356111.40877458
2024-10-17,11336721.184065832
2024-10-18,11381738.166569186
2024-10-21,11338635.2874059
2024-10-22,11344091.838937894
2024-10-23,11302229.897934526
2024-10-24,11340984.891510922
